종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"122450","KX","KOSDAQ","방송서비스","5410","20","0.37","245267565240"
"052900","KX하이텍","KOSDAQ","반도체","1433","28","1.99","78969071861"
"376190","LB루셈","KOSDAQ","반도체","6210","110","1.80","152766000000"
"061970","LB세미콘","KOSDAQ","반도체","6770","0","0.00","296421687840"
"309960","LB인베스트먼트","KOSDAQ","금융","4495","135","3.10","104361489305"
"060370","LS마린솔루션","KOSDAQ","건설","10330","190","1.87","267941936560"
"086960","MDS테크","KOSDAQ","소프트웨어","1644","73","4.65","143979113184"
"038340","MIT","KOSDAQ","일반전기전자","1283","0","0.00","33979354334"
"160550","NEW","KOSDAQ","오락·문화","4650","180","4.03","129763392900"
"053290","NE능률","KOSDAQ","출판·매체복제","5540","430","8.41","91555740780"
"060250","NHN KCP","KOSDAQ","소프트웨어","8700","190","2.23","349397315700"
"104200","NHN벅스","KOSDAQ","디지털컨텐츠","3800","5","0.13","56344690000"
"024940","PN풍년","KOSDAQ","유통","8400","350","4.35","84000000000"
"218410","RFHIC","KOSDAQ","일반전기전자","15760","310","2.01","422154199840"
"327260","RF머트리얼즈","KOSDAQ","기타제조","10830","220","2.07","91331891730"
"091340","S&K폴리텍","KOSDAQ","IT부품","2890","10","0.35","33823753690"
"419530","SAMG엔터","KOSDAQ","오락·문화","21850","3330","17.98","187711820500"
"019550","SBI인베스트먼트","KOSDAQ","금융","767","12","1.59","124305063025"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","4530","-40","-0.88","108958006200"
"046140","SBS콘텐츠허브","KOSDAQ","오락·문화","5270","20","0.38","113112934850"
"151910","SBW생명과학","KOSDAQ","IT부품","503","-22","-4.19","89098461354"
"036120","SCI평가정보","KOSDAQ","기타서비스","3610","30","0.84","128155000000"
"099220","SDN","KOSDAQ","유통","1230","5","0.41","69091327530"
"036540","SFA반도체","KOSDAQ","반도체","5140","60","1.18","845325957420"
"255220","SG","KOSDAQ","비금속","1188","-4","-0.34","56480794128"
"040610","SG&G","KOSDAQ","운송","1562","15","0.97","53244200152"
"049470","SGA","KOSDAQ","소프트웨어","589","0","0.00","34669864661"
"184230","SGA솔루션즈","KOSDAQ","소프트웨어","704","10","1.44","38147805696"
"016250","SGC이테크건설","KOSDAQ","건설","19300","-290","-1.48","62601190500"
"048550","SM C&C","KOSDAQ","방송서비스","1789","25","1.42","173008143180"
"063440","SM Life Design","KOSDAQ","출판·매체복제","1945","37","1.94","89526704530"
"289080","SV인베스트먼트","KOSDAQ","금융","1886","34","1.84","100399324000"
"089230","THE E&M","KOSDAQ","인터넷","218","-7","-3.11","40473907468"
"161570","THE MIDONG","KOSDAQ","정보기기","565","-46","-7.53","11919440010"
"032540","TJ미디어","KOSDAQ","일반전기전자","5570","-170","-2.96","77599062130"
"022220","TKG애강","KOSDAQ","화학","1236","15","1.23","64018099644"
"048770","TPC","KOSDAQ","기계·장비","3420","65","1.94","53687129220"
"246690","TS인베스트먼트","KOSDAQ","금융","1237","4","0.32","51308115294"
"317240","TS트릴리온","KOSDAQ","화학","1334","4","0.30","125993131750"
"057030","YBM넷","KOSDAQ","기타서비스","4615","275","6.34","75283096655"
"040300","YTN","KOSDAQ","방송서비스","6470","-130","-1.97","271740000000"
"051390","YW","KOSDAQ","유통","4075","-45","-1.09","46273124600"
"052220","iMBC","KOSDAQ","디지털컨텐츠","3120","20","0.65","71760000000"
"079940","가비아","KOSDAQ","인터넷","14030","110","0.79","189905646520"
"078890","가온그룹","KOSDAQ","통신장비","6040","100","1.68","102508759960"
"399720","가온칩스","KOSDAQ","반도체","41600","600","1.46","477914112000"
"036620","감성코퍼레이션","KOSDAQ","유통","3780","45","1.20","342802817280"
"217730","강스템바이오텍","KOSDAQ","제약","1345","17","1.28","75236509125"
"114190","강원에너지","KOSDAQ","금속","17450","160","0.93","455847013100"
"094480","갤럭시아머니트리","KOSDAQ","소프트웨어","6480","50","0.78","254209350240"
"039240","경남스틸","KOSDAQ","금속","3060","-10","-0.33","82557588240"
"053950","경남제약","KOSDAQ","제약","1811","-100","-5.23","64177124156"
"011040","경동제약","KOSDAQ","제약","6540","0","0.00","201227729640"
"024910","경창산업","KOSDAQ","운송장비·부품","2365","0","0.00","84711946825"
"198440","고려시멘트","KOSDAQ","비금속","1611","11","0.69","51519715560"
"049720","고려신용정보","KOSDAQ","기타서비스","9230","60","0.65","131989000000"
"014570","고려제약","KOSDAQ","제약","6870","10","0.15","75570000000"
"348150","고바이오랩","KOSDAQ","기타서비스","8700","-170","-1.92","164188209600"
"950190","고스트스튜디오","KOSDAQ","출판·매체복제","10800","150","1.41","146662833600"
"098460","고영","KOSDAQ","기계·장비","12050","30","0.25","827289797750"
"035290","골드앤에스","KOSDAQ","출판·매체복제","713","12","1.71","33119252132"
"900280","골든센츄리","KOSDAQ","금융","99","1","1.02","20335024512"
"215000","골프존","KOSDAQ","소프트웨어","92000","900","0.99","577338180000"
"121440","골프존뉴딘홀딩스","KOSDAQ","유통","3960","120","3.13","169633799280"
"366030","공구우먼","KOSDAQ","섬유·의류","6210","50","0.81","140459953500"
"014200","광림","KOSDAQ","운송장비·부품","1006","0","0.00","91250936176"
"029480","광무","KOSDAQ","통신장비","2100","70","3.45","100564571100"
"026910","광진실업","KOSDAQ","금속","3805","60","1.60","24372566025"
"397880","교보11호스팩","KOSDAQ","금융","2550","0","0.00","11322000000"
"421800","교보12호스팩","KOSDAQ","금융","2145","15","0.70","12827100000"
"440790","교보13호스팩","KOSDAQ","금융","2095","5","0.24","8484750000"
"456490","교보14호스팩","KOSDAQ","금융","2050","5","0.24","8610000000"
"053270","구영테크","KOSDAQ","운송장비·부품","2965","5","0.17","79338442520"
"066620","국보디자인","KOSDAQ","건설","14460","80","0.56","108450000000"
"043650","국순당","KOSDAQ","음식료·담배","5480","0","0.00","97863505920"
"006050","국영지앤엠","KOSDAQ","비금속","1411","55","4.06","49237187873"
"060480","국일신동","KOSDAQ","금속","2560","5","0.20","28390400000"
"078130","국일제지","KOSDAQ","종이·목재","800","0","0.00","102093978400"
"307750","국전약품","KOSDAQ","제약","5980","140","2.40","293434228620"
"035080","그래디언트","KOSDAQ","유통","11420","140","1.24","165905009280"
"204020","그리티","KOSDAQ","섬유·의류","3220","-25","-0.77","64874724600"
"114450","그린생명과학","KOSDAQ","제약","2380","160","7.21","47600000000"
"186230","그린플러스","KOSDAQ","금속","7280","150","2.10","78770968640"
"900070","글로벌에스엠","KOSDAQ","금융","568","2","0.35","30526573824"
"204620","글로벌텍스프리","KOSDAQ","금융","4965","-195","-3.78","278273896185"
"019660","글로본","KOSDAQ","유통","1193","4","0.34","41505359978"
